block,image_id,image_type,manipulation,phase,subject,verbal_id,semantic_distance,verbal_acc_corrected
4,eclair,target,horizontal_flip,pre,dux4elsp9493oa3,waffle,0.3175302479177584,0.0
4,backpack,target,regular,post,dux4elsp9493oa3,ship,0.6913484857939887,0.0
4,peanut_butter,target,upside_down,pre,dux4elsp9493oa3,roundabout,0.8106286785255686,0.0
4,grasshopper,target,horizontal_flip,post,dux4elsp9493oa3,croissant,0.6772937716473374,0.0
5,ginger,target,regular,post,dux4elsp9493oa3,roulette_wheel,0.8865501889895518,0.0
5,peanut_butter,target,upside_down,post,dux4elsp9493oa3,bottle_cork,0.7245764865490328,0.0
5,eclair,target,horizontal_flip,post,dux4elsp9493oa3,hail,0.7202494842737915,0.0
0,banana_peel,target,regular,pre,5w7lj49gckh4v2o,dog,0.7178854155162961,0.0
0,bat2,target,horizontal_flip,pre,5w7lj49gckh4v2o,arm,0.6456293390946798,0.0
0,backpack,target,upside_down,pre,5w7lj49gckh4v2o,cat,0.7477836376539623,0.0
1,bat2,target,horizontal_flip,post,5w7lj49gckh4v2o,nail,0.6977500427852753,0.0
